repo,commits,init_seconds,db_bytes,manifests,ecosystems,deps,changes,packages,versions,list_seconds,blame_seconds,history_seconds,stale_seconds,log_seconds,tree_seconds,licenses_seconds,licenses_warm_seconds,search_seconds,diff_seconds,outdated_seconds,outdated_warm_seconds
Alamofire,1667,0.017,1163264,2,gem,57,418,110,0,0.018,0.021,0.033,0.022,0.019,0.017,0.019,0.018,0.020,0.017,0.018,0.019
bat,3656,0.018,3796992,11,cargo;golang;hackage;nimble;pypi,416,2909,310,0,0.024,0.029,0.051,0.019,0.019,0.021,0.569,0.342,0.029,0.017,7.576,0.023
bubbletea,1080,0.018,1429504,10,golang,155,1492,47,0,0.019,0.022,0.038,0.019,0.019,0.022,0.020,0.024,0.023,0.017,0.238,0.175
cli,10693,0.018,7434240,24,docker;golang;npm;pypi,535,4667,349,0,0.023,0.042,0.102,0.019,0.023,0.021,0.333,0.252,0.037,0.017,0.583,0.479
express,6120,0.017,2891776,1,npm,52,1129,52,0,0.017,0.023,0.031,0.021,0.020,0.019,0.020,0.019,0.025,0.017,0.018,0.019
fd,1816,0.614,2088960,4,cargo,135,1895,112,0,0.021,0.026,0.037,0.019,0.022,0.020,0.591,0.023,0.023,0.018,1.214,0.020
flask,5474,0.019,2592768,18,pypi,115,350,95,0,0.021,0.025,0.026,0.018,0.020,0.019,0.023,0.023,0.024,0.018,0.020,0.019
fzf,3466,0.018,1900544,13,docker;gem;golang,42,437,41,0,0.019,0.023,0.029,0.018,0.021,0.019,0.151,0.125,0.023,0.018,0.021,0.022
gson,2165,0.664,1601536,20,maven,36,275,12,0,0.020,0.028,0.030,0.021,0.022,0.020,0.338,0.020,0.022,0.021,0.019,0.019
guzzle,3693,0.018,1835008,30,composer;docker;pypi,31,283,24,0,0.018,0.025,0.024,0.018,0.018,0.018,0.277,0.250,0.022,0.019,0.022,0.019
httpx,1522,0.017,1073152,5,pypi,40,393,32,0,0.022,0.021,0.025,0.020,0.020,0.018,0.019,0.020,0.023,0.017,0.020,0.021
lodash,7687,0.017,4665344,3,npm,539,2471,512,0,0.022,0.032,0.038,0.018,0.027,0.021,0.021,0.019,0.028,0.017,0.023,0.022
monolog,0,0.000,-1,0,,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
next.js,32425,0.017,384040960,877,cargo;docker;npm,15039,112650,0,0,0.127,0.340,1.151,0.024,0.021,0.092,60.101,60.113,0.321,0.016,60.108,60.132
paperclip,1973,0.017,1208320,3,gem,34,652,64,0,0.020,0.022,0.026,0.019,0.018,0.020,0.019,0.019,0.018,0.017,0.019,0.017
phoenix,8706,0.018,10280960,24,docker;hex;npm,2122,8978,1398,0,0.032,0.052,0.106,0.019,0.022,0.027,0.183,0.192,0.041,0.047,0.044,0.038
rails,97022,0.017,71725056,77,brew;docker;gem;npm,2390,16042,1685,0,0.033,0.170,0.216,0.018,0.020,0.027,1.234,0.231,0.127,0.018,0.235,0.148
react,21292,0.017,199000064,314,bower;cargo;gem;npm,27844,66377,1440,0,0.237,0.479,0.961,0.020,0.022,0.167,0.297,0.317,0.156,0.016,60.242,60.226
requests,6379,0.020,2998272,7,pypi,8,1089,7,0,0.021,0.025,0.034,0.018,0.021,0.018,0.259,0.362,0.025,0.018,0.020,0.019
retrofit,2731,1.116,2310144,39,maven;npm,468,1405,456,0,0.028,0.039,0.046,0.024,0.023,0.024,0.557,0.190,0.037,0.023,6.358,0.023
ripgrep,2206,0.018,2281472,32,arch;cargo;docker,172,1891,60,0,0.021,0.032,0.049,0.021,0.021,0.021,0.158,0.134,0.021,0.018,1.126,0.022
rubygems.org,11966,0.016,11882496,9,docker;gem;pypi,473,8933,678,0,0.021,0.040,0.106,0.035,0.018,0.019,0.167,0.185,0.038,0.015,0.293,0.020
vscode,144385,0.019,220192768,281,cargo;docker;npm;nuget;vcpkg,7005,75682,2619,0,0.102,0.472,1.023,0.023,0.022,0.044,0.192,0.189,0.310,0.017,6.674,0.237
